Date,Open,High,Low,Close,Adj Close,Volume,,,,mean,,MAM
29-03-18,41760,42700,41600,42100,41729.35938,444744,,,,,,
01-04-18,42230,43550,42230,43280,42898.97266,29829,,,,,,
02-04-18,43320,43340,42800,42800,42423.19922,14946,,,,,,
03-04-18,42630,42630,41940,41970,41600.50391,34273,,,,,,
04-04-18,42000,42130,40680,41200,40837.28906,96951,,,,,,
05-04-18,41200,41200,41200,41200,40837.28906,0,,,,,,
08-04-18,41000,41750,40810,41690,41367.14844,56040,,,,,,
09-04-18,41900,42170,40880,41120,40844.67188,140492,,,,,,
10-04-18,41020,41380,40300,40530,40258.625,89538,,,,,,
11-04-18,40300,42100,40100,42100,41818.11328,433869,,,,,,
12-04-18,42500,43860,42450,43000,42712.08203,145513,,,,,,
15-04-18,43030,44000,43030,43900,43606.05859,36027,,,,,,
16-04-18,44000,44410,43530,44410,44112.64453,93324,,,,,,
17-04-18,44400,44400,44030,44270,43973.58203,37022,,,,,,
18-04-18,44270,44270,44270,44270,43973.58203,0,,,,,,
19-04-18,44270,44270,44270,44270,43973.58203,0,,,,,,
22-04-18,43800,44960,43650,44830,44529.83203,36246,,,,,,
23-04-18,44790,44790,43790,44010,43715.31641,90593,,,,,,
24-04-18,43950,44100,43700,43700,43407.39453,29761,,,,,,
25-04-18,43280,44060,43100,43390,43099.47266,68552,,,,,,
26-04-18,43890,43890,43000,43140,42851.15234,67536,,,,,,
29-04-18,43000,43000,42510,42700,42414.09375,17355,,,,,,
30-04-18,42360,42640,41650,41650,41371.125,76334,,,,,,
01-05-18,41660,42440,41320,42050,41768.44922,59706,,,,,,
02-05-18,42050,42250,41500,41550,41271.79297,83832,,,,,,
03-05-18,41250,41760,41160,41320,41043.33594,78801,,,,,,
06-05-18,41590,42050,41590,41910,41629.37891,17259,,,,,,
07-05-18,41850,41890,41420,41540,41261.86328,31830,,,,,,
08-05-18,41420,41540,40760,40980,40705.61719,67477,,,,,,
09-05-18,40760,41630,40680,41160,40884.40625,61171,,,,,,
10-05-18,40930,41380,40650,40690,40417.54688,74974,,,,,,
13-05-18,40200,40340,40050,40260,39990.43359,39426,,,,,,
14-05-18,40270,40840,40270,40620,40348.02344,87277,,,,,,
15-05-18,40620,41290,40330,40410,40139.42578,46743,,,,,,
